NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
7;262256;589936;8;0;109043200;31268352
8;1048688;2621552;8;0;484415232;140553728
9;4194416;10485872;8;46858496;1890774528;546988032
10;16777328;41943152;8;156261120;7672471552;2172029696
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;15602176
6;65648;147568;8;0;31249152;15625728
7;262256;589936;8;0;124630272;31272192
8;1048688;2621552;8;15625984;484412160;125400576
9;4194416;10485872;8;31062016;1922392320;547295232
10;16777328;41943152;8;141011968;7672331776;2172039424
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15625984;0
6;65648;147568;8;15625728;15626240;15626240
7;262256;589936;8;0;109577728;46878464
8;1048688;2621552;8;0;484591616;140256512
9;4194416;10485872;8;46861312;1875145728;546553344
10;16777328;41943152;8;140636416;7719349504;2187769856
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15598080;0
5;16496;36976;8;0;15622656;0
6;65648;147568;8;0;31257856;0
7;262256;589936;8;0;125202688;31317504
8;1048688;2621552;8;15627008;469157888;140254720
9;4194416;10485872;8;46867968;1922022144;562171136
10;16777328;41943152;8;140820224;7687717888;2172408576
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;15540992
5;16496;36976;8;0;15430400;0
6;65648;147568;8;0;31451904;0
7;262256;589936;8;15360000;109202944;46878464
8;1048688;2621552;8;15777536;468618752;141011968
9;4194416;10485872;8;31447040;1906381056;547068672
10;16777328;41943152;8;156032768;7672638208;2172041472
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31419136;15617280
7;262256;589936;8;0;124830976;31082240
8;1048688;2621552;8;15431936;469041664;140635904
9;4194416;10485872;8;31427840;1921832448;547007232
10;16777328;41943152;8;156638976;7687892224;2156627200
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31256320;15798272
7;262256;589936;8;0;124492800;31451904
8;1048688;2621552;8;0;484305152;141014016
9;4194416;10485872;8;31277568;1890536192;546919168
10;16777328;41943152;8;140806400;7703530240;2172243200
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15623936;0
5;16496;36976;8;0;15706624;0
6;65648;147568;8;0;31249920;0
7;262256;589936;8;0;125193984;31319040
8;1048688;2621552;8;15618816;468771840;140381696
9;4194416;10485872;8;46626048;1875585024;531296512
10;16777328;41943152;8;140854016;7641111808;2172025600
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15625984;0
5;16496;36976;8;0;15626240;0
6;65648;147568;8;0;31252480;0
7;262256;589936;8;0;125213440;31623168
8;1048688;2621552;8;0;484611840;140244992
9;4194416;10485872;8;47053056;1922024704;546816512
10;16777328;41943152;8;156454656;7703630336;2171859200
3;1136;2288;8;0;0;0
4;4208;9328;8;0;15422976;0
5;16496;36976;8;0;15632640;0
6;65648;147568;8;0;31254272;0
7;262256;589936;8;0;125012736;31254272
8;1048688;2621552;8;0;484399104;140454912
9;4194416;10485872;8;46672896;1875144704;531099904
10;16777328;41943152;8;156261888;7657215232;2172229120
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15616512;0
6;65648;147568;8;15622656;15690240;15644928
7;262256;589936;8;15390720;109609216;46825216
8;1048688;2621552;8;0;484378112;140228096
9;4194416;10485872;8;46859776;1922028544;531357440
10;16777328;41943152;8;156334848;7687896576;2156414208
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15633664;15802112
6;65648;147568;8;0;31161344;0
7;262256;589936;8;0;124833280;31445760
8;1048688;2621552;8;15432448;468974848;140626688
9;4194416;10485872;8;47134976;1906274816;546916864
10;16777328;41943152;8;156251392;7703901440;2187579392
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31245824;15315456
7;262256;589936;8;0;109759744;31442944
8;1048688;2621552;8;15366912;484644352;140629504
9;4194416;10485872;8;46877440;1906578176;546682624
10;16777328;41943152;8;141109504;7656655616;2171876608
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15406080;15482880
6;65648;147568;8;0;31233792;0
7;262256;589936;8;0;124834816;31251968
8;1048688;2621552;8;15613696;468604160;140625920
9;4194416;10485872;8;47023872;1906012416;547281920
10;16777328;41943152;8;156463360;7703512064;2203675136
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31176960;15450624
7;262256;589936;8;0;125009408;31246592
8;1048688;2621552;8;0;468602880;125380352
9;4194416;10485872;8;31436800;1906283520;562547968
10;16777328;41943152;8;156262656;7626001664;2156162048
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15512832;15739648
6;65648;147568;8;0;31258880;0
7;262256;589936;8;0;124824576;31216896
8;1048688;2621552;8;15509760;484447232;140644864
9;4194416;10485872;8;31436032;1906501632;531441152
10;16777328;41943152;8;140766208;7703816960;2171824128
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31276032;15626240
7;262256;589936;8;0;124833536;30990080
8;1048688;2621552;8;15431168;484467712;125375488
9;4194416;10485872;8;46746112;1922024192;546865152
10;16777328;41943152;8;156259584;7688088832;2156194816
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;15556608;0
6;65648;147568;8;0;31265280;0
7;262256;589936;8;0;124836864;46933504
8;1048688;2621552;8;15628032;484405248;141057792
9;4194416;10485872;8;31059968;1890961152;546918400
10;16777328;41943152;8;140636160;7688280832;2187475456
3;1136;2288;8;0;0;0
4;4208;9328;8;0;0;0
5;16496;36976;8;0;0;0
6;65648;147568;8;0;31262464;15622144
7;262256;589936;8;0;124817408;31240704
8;1048688;2621552;8;0;484407296;140635904
9;4194416;10485872;8;46868480;1890564096;531306752
10;16777328;41943152;8;156530176;7672126464;2187747072
