num_qubits;DJ_times;DJ_sizes;BV_times;BV_sizes;grover_times;grover_sizes
5;0.009000062942504883;1130;0.011002063751220703;1130;0.012999534606933594;1130
6;0.011000633239746094;2154;0.012997627258300781;2154;0.01600170135498047;2154
7;0.014000415802001953;4202;0.016000986099243164;4202;0.013998985290527344;4202
8;0.016999483108520508;8298;0.01800251007080078;8298;0.018997907638549805;8298
9;0.019999265670776367;16490;0.02100205421447754;16490;0.018998146057128906;16490
10;0.023998260498046875;32874;0.0260012149810791;32874;0.025999069213867188;32874
2;0.004000425338745117;234;0.0039997100830078125;234;0.0060002803802490234;234
3;0.005999326705932617;362;0.0060024261474609375;362;0.008997678756713867;362
4;0.008000612258911133;618;0.005999565124511719;618;0.01300191879272461;618
5;0.008997917175292969;1130;0.010000228881835938;1130;0.013002395629882812;1130
6;0.010999679565429688;2154;0.01199793815612793;2154;0.015001773834228516;2154
7;0.013998031616210938;4202;0.015000104904174805;4202;0.014002561569213867;4202
8;0.015997648239135742;8298;0.015999555587768555;8298;0.017000436782836914;8298
9;0.018997907638549805;16490;0.01900005340576172;16490;0.020000219345092773;16490
10;0.023999452590942383;32874;0.026002883911132812;32874;0.02699732780456543;32874
2;0.0040018558502197266;234;0.004999876022338867;234;0.0059986114501953125;234
3;0.004999399185180664;362;0.004999876022338867;362;0.009999990463256836;362
4;0.006999969482421875;618;0.008000373840332031;618;0.013000011444091797;618
5;0.008999824523925781;1130;0.00899958610534668;1130;0.01300048828125;1130
6;0.011999845504760742;2154;0.010999917984008789;2154;0.016000032424926758;2154
7;0.014000177383422852;4202;0.013000011444091797;4202;0.014000177383422852;4202
8;0.015999555587768555;8298;0.016000032424926758;8298;0.018002748489379883;8298
9;0.0189971923828125;16490;0.020000219345092773;16490;0.019001245498657227;16490
10;0.025000333786010742;32874;0.025998353958129883;32874;0.02700209617614746;32874
2;0.003999948501586914;234;0.0039997100830078125;234;0.006002187728881836;234
3;0.005997896194458008;362;0.006001949310302734;362;0.009000301361083984;362
4;0.006997585296630859;618;0.007999897003173828;618;0.012000083923339844;618
5;0.010000228881835938;1130;0.009002208709716797;1130;0.012999534606933594;1130
6;0.011998414993286133;2154;0.01199960708618164;2154;0.016002178192138672;2154
7;0.013998746871948242;4202;0.01600193977355957;4202;0.013998031616210938;4202
8;0.01699972152709961;8298;0.019001245498657227;8298;0.018000125885009766;8298
9;0.01999950408935547;16490;0.022001266479492188;16490;0.018997907638549805;16490
10;0.023999691009521484;32874;0.02600264549255371;32874;0.026999235153198242;32874
2;0.003997325897216797;234;0.003999948501586914;234;0.006000041961669922;234
3;0.006002187728881836;362;0.005000114440917969;362;0.008997678756713867;362
4;0.008002281188964844;618;0.007997751235961914;618;0.012001991271972656;618
